"Collar","GeolFrom","GeolTo","Chk","Geology_Comment","LithLocal","LithContact","LithAbund1","LithSpec1","LithMod1","LithColorMod1","LithColor1","LithAbund2","LithSpec2","LithMod2","LithColorMod2","LithColor2","LithAbund3","LithSpec3","LithMod3","LithColorMod3","LithColor3","LithAbund4","LithSpec4","LithMod4","LithColorMod4","LithColor4","LithAbund5","LithSpec5","LithMod5","LithColorMod5","LithColor5","Lithology_Category"
"EVE-20-01","0","9.1","0","Brecciated andesite, greenish color with Qtz (clear) veinlets 1-10 mm wide, Hm   <   Gt fractures + calcite,","No data","No data","No data","Andesite","Breccia","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","9.1","17.7","0","Brecciated andesite, pale green, fault zone; crushed rock 15-20 cm wide with Bx relicts;","No data","No data","No data","Andesite","Breccia","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","17.7","20.7","0","Andesite breccia, greenish rock, no competent (weak) moderately faulted 50°; clay + sericite + chlorite + calcite in gouge; ox decrease ox along erratic fractures with Gt  >  Hem.","No data","No data","No data","Andesite","Breccia","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","20.7","23","0","Andesite breccia; Continuation of fracture/faulting zone (50°); increase FeOx strings on fault/fracturing Hm  >  Gt.","No data","No data","No data","Andesite","Breccia","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","23","26.4","0","Metavolcanics (gray to green) coarse to flow texture with interbedded fine-grained interval .","No data","No data","No data","Metavolcanic","Porphyry","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","26.4","28.3","0","Metavolcanic, gray-orange, porphyritic; Calcite + Hem + Gt veinlets 1-2 mm hm (stain no hydrothermal); disseminated, euhedral PyOx. Fault upper contact 60°.","No data","No data","No data","Metavolcanic","Porphyry","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","28.3","29.05","0","White Qtz vein PyOx + hm + Kln (kaolinite) +MnOx; massive texture with also cracked zones. Voids filled with FeOx (Hm) + MnOx.","No data","No data","No data","QuartzVein","Massive","No data","White","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","29.05","32.8","0","Strong fault zone; weak Qtz (m) veinlets with Py Ox + hm, low sericite; gouge at bottom rich in ser + chl.","No data","No data","No data","Andesite","Porphyry","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","32.8","33.35","0","Metavolcanic, green, porphyritic-dotted texture (PyOx) Hm + calcite 1-3 mm wide, 32.55-33.35 m Qtz vein + Py Ox.","No data","No data","No data","Metavolcanic","Porphyry","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-01","33.35","39.9","0","Metandesite, orange, porphyritic; Agglomeratic texture; weakly foliated metavolcanics, S1= 60° faults 70°-60° and Qtz veinlets(1-5 mm) strong calcite associated with calcareous clay.","No data","No data","No data","Metandesite","Agglomerate","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
