"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","RecvdWt_kg_WEI-21"
"EVE-20-01","779202","0","2.2","2.2","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.025","Aristeo.Nuñez","09/03/2020","3.03"
"EVE-20-01","779203","2.2","3.7","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.12","Aristeo.Nuñez","09/03/2020","2.12"
"EVE-20-01","779204","3.7","5.2","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.155","Aristeo.Nuñez","09/03/2020","2.16"
"EVE-20-01","779205","5.2","6.5","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.97","Aristeo.Nuñez","09/03/2020","3.97"
"EVE-20-01","779206","6.5","7.8","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.96","Aristeo.Nuñez","09/03/2020","2.96"
"EVE-20-01","779207","7.8","9.1","1.3","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.895","Aristeo.Nuñez","09/03/2020","4.90"
"EVE-20-01","779208","9.1","9.8","0.7","0.35","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.95","Aristeo.Nuñez","09/03/2020","1.20"
"EVE-20-01","779209","10.15","10.8","0.65","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.35","Aristeo.Nuñez","09/03/2020","1.35"
"EVE-20-01","779210","10.8","11.4","0.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.805","Aristeo.Nuñez","09/03/2020","1.80"
"EVE-20-01","779211","11.4","13","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.145","Aristeo.Nuñez","09/03/2020","4.14"
"EVE-20-01","779212","13","14.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.575","Aristeo.Nuñez","09/03/2020","3.57"
"EVE-20-01","779213","14.5","16","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.925","Aristeo.Nuñez","09/03/2020","3.93"
"EVE-20-01","779214","16","17.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.095","Aristeo.Nuñez","09/03/2020","4.09"
"EVE-20-01","779215","17.5","19","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_QuarterSawn","2.692","Aristeo.Nuñez","09/03/2020","2.62"
"EVE-20-01","779217","19","20.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.23","Aristeo.Nuñez","09/03/2020","4.22"
"EVE-20-01","779218","20.5","22","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.59","Aristeo.Nuñez","09/03/2020","4.59"
"EVE-20-01","779219","22","23.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.02","Aristeo.Nuñez","09/03/2020","4.02"
"EVE-20-01","779220","23.5","25.1","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.46","Aristeo.Nuñez","09/03/2020","5.45"
"EVE-20-01","779221","25.1","26.7","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.77","Aristeo.Nuñez","09/03/2020","5.76"
"EVE-20-01","779222","26.7","28.3","1.6","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.39","Aristeo.Nuñez","09/03/2020","5.40"
"EVE-20-01","779223","28.3","29.05","0.75","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.245","Aristeo.Nuñez","09/03/2020","2.23"
"EVE-20-01","779226","29.05","30","0.95","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","1.77","Aristeo.Nuñez","09/03/2020","1.77"
"EVE-20-01","779227","30","31.5","1.5","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.01","Aristeo.Nuñez","09/03/2020","3.02"
"EVE-20-01","779228","31.5","32.55","1.05","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.53","Aristeo.Nuñez","09/03/2020","2.53"
"EVE-20-01","779229","32.55","33.35","0.8","0","","ALS","EVE2001_Batch_001","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.245","Aristeo.Nuñez","09/03/2020","2.25"
"EVE-20-01","779231","33.35","35","1.65","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","6.16","Aristeo.Nuñez","09/03/2020","6.16"
"EVE-20-01","779232","35","36.5","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.425","Aristeo.Nuñez","09/03/2020","5.43"
"EVE-20-01","779233","36.5","38","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","4.575","Aristeo.Nuñez","09/03/2020","4.58"
"EVE-20-01","779234","38","39.5","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","5.39","Aristeo.Nuñez","09/03/2020","5.39"
"EVE-20-01","779235","39.5","40.5","1","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.35","Aristeo.Nuñez","09/03/2020","2.35"
"EVE-20-01","779236","40.5","41.2","0.7","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","2.275","Aristeo.Nuñez","09/03/2020","2.27"
"EVE-20-01","779238","41.2","42.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.05","Aristeo.Nuñez","09/03/2020","3.04"
"EVE-20-01","779239","42.7","44.2","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.805","Aristeo.Nuñez","09/03/2020","3.80"
"EVE-20-01","779240","44.2","45.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.96","Aristeo.Nuñez","09/03/2020","3.95"
"EVE-20-01","779241","45.7","47.2","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.67","Aristeo.Nuñez","09/03/2020","3.66"
"EVE-20-01","779242","47.2","48.7","1.5","0","","ALS","EVE2001_Batch_002","HE20068262 - Finalized","22/03/2020","Core_HalfSawn","3.61","Aristeo.Nuñez","09/03/2020","3.61"
