"Collar","Depth","Chk","Length","WeightDryAir","WeightWater","WeightWaterSealed","FinalWeightNoSealed","Chk1","SpecificGravity_1","Vol_1","Vol_2","DifVol","SpecificGravity_2","SpecificGravityComment"
"EVE-20-01","2.65","0","8","327.7","-9999","118.2","-9999","0","2.772","-9999","-9999","-9999","-9999",""
"EVE-20-01","3.65","0","8","210.5","-9999","77","-9999","0","2.734","-9999","-9999","-9999","-9999",""
"EVE-20-01","5.55","0","11","363.7","-9999","135.6","-9999","0","2.682","-9999","-9999","-9999","-9999",""
"EVE-20-01","7.15","0","12","418.6","-9999","132.2","-9999","0","3.166","-9999","-9999","-9999","-9999",""
"EVE-20-01","7.65","0","12","389.5","-9999","139.2","-9999","0","2.798","-9999","-9999","-9999","-9999",""
"EVE-20-01","9.45","0","5","200.4","-9999","73.5","-9999","0","2.727","-9999","-9999","-9999","-9999",""
"EVE-20-01","10.55","0","4","176.5","-9999","59.9","-9999","0","2.947","-9999","-9999","-9999","-9999",""
"EVE-20-01","12.8","0","6.5","310.5","-9999","111","-9999","0","2.797","-9999","-9999","-9999","-9999",""
"EVE-20-01","13.6","0","7.5","254","-9999","90.5","-9999","0","2.807","-9999","-9999","-9999","-9999",""
"EVE-20-01","15.35","0","4.5","485.5","-9999","200.5","-9999","0","2.421","-9999","-9999","-9999","-9999",""
"EVE-20-01","16.75","0","6","331.5","-9999","123","-9999","0","2.695","-9999","-9999","-9999","-9999",""
"EVE-20-01","18.2","0","10","255.3","-9999","104.5","-9999","0","2.443","-9999","-9999","-9999","-9999",""
"EVE-20-01","19.25","0","4","166.5","-9999","54.8","-9999","0","3.038","-9999","-9999","-9999","-9999",""
"EVE-20-01","20.65","0","5","160.5","-9999","59.5","-9999","0","2.697","-9999","-9999","-9999","-9999",""
"EVE-20-01","22.35","0","5","201.2","-9999","58.5","-9999","0","3.439","-9999","-9999","-9999","-9999",""
"EVE-20-01","23.85","0","4","111.8","-9999","39.1","-9999","0","2.859","-9999","-9999","-9999","-9999",""
"EVE-20-01","25.25","0","12","365.6","-9999","134.1","-9999","0","2.726","-9999","-9999","-9999","-9999",""
"EVE-20-01","27.95","0","9","234.9","-9999","86.5","-9999","0","2.716","-9999","-9999","-9999","-9999",""
"EVE-20-01","28.55","0","11","291.5","-9999","112.5","-9999","0","2.591","-9999","-9999","-9999","-9999",""
"EVE-20-01","29.2","0","8","272.2","-9999","86","-9999","0","3.165","-9999","-9999","-9999","-9999",""
"EVE-20-01","31.05","0","4","122.3","-9999","42.1","-9999","0","2.905","-9999","-9999","-9999","-9999",""
"EVE-20-01","31.9","0","5","231.5","-9999","87","-9999","0","2.661","-9999","-9999","-9999","-9999",""
"EVE-20-01","32.65","0","9.5","279.5","-9999","104","-9999","0","2.688","-9999","-9999","-9999","-9999",""
"EVE-20-01","33.5","0","12","421.5","-9999","153","-9999","0","2.755","-9999","-9999","-9999","-9999",""
"EVE-20-01","35.3","0","10","401.3","-9999","155","-9999","0","2.589","-9999","-9999","-9999","-9999",""
"EVE-20-01","37.75","0","14","612.3","-9999","228.3","-9999","0","2.682","-9999","-9999","-9999","-9999",""
"EVE-20-01","40.4","0","10","421.6","-9999","158.4","-9999","0","2.662","-9999","-9999","-9999","-9999",""
"EVE-20-01","41.65","0","8","241","-9999","91.6","-9999","0","2.631","-9999","-9999","-9999","-9999",""
"EVE-20-01","43.85","0","11","233.5","-9999","77.5","-9999","0","3.013","-9999","-9999","-9999","-9999",""
"EVE-20-01","45.8","0","15","525.3","-9999","200.5","-9999","0","2.62","-9999","-9999","-9999","-9999",""
"EVE-20-01","46.85","0","15","627.3","-9999","233.1","-9999","0","2.691","-9999","-9999","-9999","-9999",""
"EVE-20-01","48.6","0","7","268.7","-9999","104.3","-9999","0","2.576","-9999","-9999","-9999","-9999",""
"EVE-20-01","50.7","0","10","340.8","-9999","130.3","-9999","0","2.616","-9999","-9999","-9999","-9999",""
"EVE-20-01","52.95","0","9","352.6","-9999","130.9","-9999","0","2.694","-9999","-9999","-9999","-9999",""
"EVE-20-01","54.2","0","14","430.3","-9999","152.4","-9999","0","2.823","-9999","-9999","-9999","-9999",""
"EVE-20-01","56.35","0","7","297.5","-9999","111.5","-9999","0","2.668","-9999","-9999","-9999","-9999",""
"EVE-20-01","59.85","0","9","334.6","-9999","124.6","-9999","0","2.685","-9999","-9999","-9999","-9999",""
"EVE-20-01","64.8","0","10","328.3","-9999","126.3","-9999","0","2.599","-9999","-9999","-9999","-9999",""
"EVE-20-01","67.35","0","5","153.4","-9999","60.2","-9999","0","2.548","-9999","-9999","-9999","-9999",""
"EVE-20-01","68.2","0","10","351.7","-9999","130","-9999","0","2.705","-9999","-9999","-9999","-9999",""
"EVE-20-01","71","0","10","315.6","-9999","122.3","-9999","0","2.581","-9999","-9999","-9999","-9999",""
"EVE-20-01","73.8","0","10","417.9","-9999","168.9","-9999","0","2.474","-9999","-9999","-9999","-9999",""
"EVE-20-01","76.4","0","9","374.5","-9999","154.6","-9999","0","2.422","-9999","-9999","-9999","-9999",""
"EVE-20-01","79.7","0","14","531.1","-9999","199.66","-9999","0","2.66","-9999","-9999","-9999","-9999",""
"EVE-20-01","81.5","0","8","295.1","-9999","115.4","-9999","0","2.557","-9999","-9999","-9999","-9999",""
"EVE-20-01","86.7","0","12","529.1","-9999","198.2","-9999","0","2.67","-9999","-9999","-9999","-9999",""
"EVE-20-01","93.1","0","11","470.9","-9999","186.2","-9999","0","2.529","-9999","-9999","-9999","-9999",""
"EVE-20-01","98.3","0","10","297.1","-9999","111.8","-9999","0","2.657","-9999","-9999","-9999","-9999",""
"EVE-20-01","106.2","0","8","260.2","-9999","96.8","-9999","0","2.688","-9999","-9999","-9999","-9999",""
"EVE-20-01","116.3","0","8","290.9","-9999","105.6","-9999","0","2.755","-9999","-9999","-9999","-9999",""
"EVE-20-01","121.6","0","6","246.9","-9999","82.5","-9999","0","2.993","-9999","-9999","-9999","-9999",""
"EVE-20-01","123.7","0","8","320.6","-9999","112.3","-9999","0","2.855","-9999","-9999","-9999","-9999",""
"EVE-20-01","127.7","0","10","387.7","-9999","144.2","-9999","0","2.689","-9999","-9999","-9999","-9999",""
"EVE-20-01","132.5","0","13","463","-9999","165.3","-9999","0","2.801","-9999","-9999","-9999","-9999",""
"EVE-20-01","139.1","0","8","291.1","-9999","105.4","-9999","0","2.762","-9999","-9999","-9999","-9999",""
"EVE-20-01","143.95","0","10","463.5","-9999","170.6","-9999","0","2.717","-9999","-9999","-9999","-9999",""
"EVE-20-01","148.5","0","7","262.9","-9999","94.3","-9999","0","2.788","-9999","-9999","-9999","-9999",""
"EVE-20-01","154.8","0","8","269.8","-9999","107.9","-9999","0","2.5","-9999","-9999","-9999","-9999",""
